2014-06-01|0|1370938|0
2014-06-02|1|1357585|13353
2014-06-03|2|1353928|3657
2014-06-04|3|1351574|2354
2014-06-05|4|1300014|51560
2014-06-06|5|1291343|8671
2014-06-07|6|1289310|2033
2014-06-08|0|1286181|3129
2014-06-09|1|1280052|6129
2014-06-10|2|1278130|1922
2014-06-11|3|1271958|6172
2014-06-12|4|1267063|4895
2014-06-13|5|1260181|6882
2014-06-14|6|1260181|0
2014-06-15|0|1258993|1188
2014-06-16|1|1255432|3561
2014-06-17|2|1254105|1327
2014-06-18|3|1252735|1370
2014-06-19|4|1251456|1279
2014-06-20|5|1246274|5182
2014-06-21|6|1234387|11887
2014-06-22|0|1231307|3080
2014-06-23|1|1225918|5389
2014-06-24|2|1224896|1022
2014-06-25|3|1155242|69654
2014-06-26|4|1151742|3500
2014-06-27|5|1122496|29246
2014-06-28|6|1122496|0
2014-06-29|0|1117996|4500
2014-06-30|1|1138706|-20710
2014-07-01|2|1136933|1773
2014-07-02|3|1136706|227
2014-07-03|4|1133539|3167
2014-07-04|5|1131020|2519
2014-07-05|6|1122208|8812
2014-07-06|0|1122208|0
2014-07-07|1|1088297|33911
2014-07-08|2|1081755|6542
2014-07-09|3|1080160|1595
2014-07-10|4|1078594|1566
2014-07-11|5|1077137|1457
2014-07-12|6|1071441|5696
2014-07-13|0|1066573|4868
2014-07-14|1|1065552|1021
2014-07-15|2|1064147|1405
2014-07-16|3|1061857|2290
2014-07-17|4|1060855|1002
2014-07-18|5|1058768|2087
2014-07-19|6|1057399|1369
2014-07-20|0|1054365|3034
2014-07-21|1|1054365|0
2014-07-22|2|1052625|1740
2014-07-23|3|1050879|1746
2014-07-24|4|1049766|1113
2014-07-25|5|1046227|3539
2014-07-26|6|1012425|33802
2014-07-27|0|1009181|3244
2014-07-28|1|996155|13026
2014-07-29|2|995125|1030
2014-07-30|3|916958|78167
2014-07-31|4|1254685|-337727
2014-08-01|5|1253128|1557
2014-08-02|6|1251600|1528
2014-08-03|0|1246140|5460
2014-08-04|1|1245335|805
2014-08-05|2|1145204|100131
2014-08-06|3|1137026|8178
2014-08-07|4|1136002|1024
2014-08-08|5|1126338|9664
2014-08-09|6|1125042|1296
2014-08-10|0|1124052|990
2014-08-11|1|1123633|419
2014-08-12|2|1120895|2738
2014-08-13|3|1118022|2873
2014-08-14|4|1117128|894
2014-08-15|5|1113809|3319
2014-08-16|6|1110733|3076
2014-08-17|0|1109796|937
2014-08-18|1|1106784|3012
2014-08-19|2|1105259|1525
2014-08-20|3|1103089|2170
2014-08-21|4|1099588|3501
2014-08-22|5|1101537|-1949
2014-08-23|6|1099331|2206
2014-08-24|0|1093427|5904
2014-08-25|1|1089539|3888
2014-08-26|2|1087960|1579
2014-08-27|3|1011904|76056
2014-08-28|4|1010643|1261
2014-08-29|5|1328523|-317880
2014-08-30|6|1319423|9100
2014-08-31|0|1247015|72408
2014-09-01|1|1238597|8418
2014-09-02|2|1231402|7195
2014-09-03|3|1230957|445
2014-09-04|4|1228081|2876
2014-09-05|5|1210402|17679
2014-09-06|6|1209142|1260
2014-09-07|0|1207252|1890
2014-09-08|1|1195546|11706
2014-09-09|2|1195179|367
2014-09-10|3|1191610|3569
2014-09-11|4|1191610|0
2014-09-12|5|1190525|1085
2014-09-13|6|1190525|0
2014-09-14|0|1189335|1190
2014-09-15|1|1189335|0
2014-09-16|2|1184644|4691
2014-09-17|3|1182922|1722
2014-09-18|4|1182468|454
2014-09-19|5|1179645|2823
2014-09-20|6|1179290|355
2014-09-21|0|1167000|12290
2014-09-22|1|1159312|7688
2014-09-23|2|1158087|1225
2014-09-24|3|1158087|0
2014-09-25|4|1156933|1154
2014-09-26|5|1155578|1355
2014-09-27|6|1154533|1045
2014-09-28|0|1151214|3319
2014-09-29|1|1077877|73337
2014-09-30|2|1371728|-293851
2014-10-01|3|1370790|938
2014-10-02|4|1302871|67919
2014-10-03|5|1298711|4160
2014-10-04|6|1298711|0
2014-10-05|0|1295621|3090
2014-10-06|1|1259293|36328
2014-10-07|2|1257867|1426
2014-10-08|3|1253621|4246
2014-10-09|4|1247420|6201
2014-10-10|5|1243934|3486
2014-10-11|6|1243934|0
2014-10-12|0|1240905|3029
2014-10-13|1|1231905|9000
2014-10-14|2|1228013|3892
2014-10-15|3|1225948|2065
2014-10-16|4|1219783|6165
2014-10-17|5|1216652|3131
2014-10-18|6|1210965|5687
2014-10-19|0|1260261|-49296
2014-10-20|1|1258685|1576
2014-10-21|2|1228166|30519
2014-10-22|3|1225103|3063
2014-10-23|4|1227192|-2089
2014-10-24|5|1220507|6685
2014-10-25|6|1213205|7302
2014-10-26|0|1202647|10558
2014-10-27|1|1136054|66593
2014-10-28|2|1133586|2468
2014-10-29|3|1142441|-8855
2014-10-30|4|1125800|16641
2014-10-31|5|1045093|80707
2014-11-01|6|1039663|5430
2014-11-02|0|1038116|1547
2014-11-03|1|1037736|380
2014-11-04|2|1035178|2558
2014-11-05|3|989454|45724
2014-11-06|4|983469|5985
2014-11-07|5|978612|4857
2014-11-08|6|975611|3001
2014-11-09|0|974690|921
2014-11-10|1|969535|5155
2014-11-11|2|967417|2118
2014-11-12|3|962637|4780
2014-11-13|4|960356|2281
2014-11-14|5|958286|2070
2014-11-15|6|955476|2810
2014-11-16|0|955476|0
2014-11-17|1|952414|3062
2014-11-18|2|946469|5945
2014-11-19|3|943733|2736
2014-11-20|4|941617|2116
2014-11-21|5|937871|3746
2014-11-22|6|937871|0
2014-11-23|0|932013|5858
2014-11-24|1|930325|1688
2014-11-25|2|927496|2829
2014-11-26|3|925445|2051
2014-11-27|4|858715|66730
2014-11-28|5|1025667|-166952
2014-11-29|6|1024130|1537
2014-11-30|0|1021413|2717
2014-12-01|1|1012100|9313
2014-12-02|2|938857|73243
2014-12-03|3|932233|6624
2014-12-04|4|927719|4514
2014-12-05|5|846108|81611
2014-12-06|6|827359|18749
2014-12-07|0|820626|6733
2014-12-08|1|812341|8285
2014-12-09|2|809119|3222
2014-12-10|3|805497|3622
2014-12-11|4|804557|940
2014-12-12|5|802925|1632
2014-12-13|6|794912|8013
2014-12-14|0|794912|0
2014-12-15|1|794912|0
2014-12-16|2|791928|2984
2014-12-17|3|785781|6147
2014-12-18|4|782731|3050
2014-12-19|5|780614|2117
2014-12-20|6|777800|2814
2014-12-21|0|775643|2157
2014-12-22|1|773301|2342
2014-12-23|2|770739|2562
2014-12-24|3|768539|2200
2014-12-25|4|766195|2344
2014-12-26|5|763876|2319
2014-12-27|6|754700|9176
2014-12-28|0|747405|7295
2014-12-29|1|680529|66876
2014-12-30|2|994938|-314409
2014-12-31|3|992154|2784
2015-01-01|4|985206|6948
2015-01-02|5|984965|241
2015-01-03|6|984165|800
2015-01-04|0|969617|14548
2015-01-05|1|870344|99273
2015-01-06|2|866699|3645
2015-01-07|3|863851|2848
2015-01-08|4|855920|7931
2015-01-09|5|852911|3009
2015-01-10|6|850634|2277
2015-01-11|0|848441|2193
2015-01-12|1|830631|17810
2015-01-13|2|829164|1467
2015-01-14|3|827736|1428
2015-01-15|4|826370|1366
2015-01-16|5|824914|1456
2015-01-17|6|824544|370
2015-01-18|0|822257|2287
2015-01-19|1|820689|1568
2015-01-20|2|818494|2195
2015-01-21|3|817196|1298
2015-01-22|4|816242|954
2015-01-23|5|811965|4277
2015-01-24|6|809130|2835
2015-01-25|0|809130|0
2015-01-26|1|807255|1875
2015-01-27|2|792880|14375
2015-01-28|3|791483|1397
2015-01-29|4|789842|1641
2015-01-30|5|1168316|-378474
2015-01-31|6|1168316|0
2015-02-01|0|1166436|1880
2015-02-02|1|1153870|12566
2015-02-03|2|1149359|4511
2015-02-04|3|1147459|1900
2015-02-05|4|1138076|9383
2015-02-06|5|1068664|69412
2015-02-07|6|1066214|2450
2015-02-08|0|1066214|0
2015-02-09|1|1064259|1955
2015-02-10|2|1059821|4438
2015-02-11|3|1059821|0
2015-02-12|4|1057931|1890
2015-02-13|5|1056398|1533
2015-02-14|6|1052448|3950
2015-02-15|0|1046255|6193
2015-02-16|1|1043975|2280
2015-02-17|2|1041925|2050
2015-02-18|3|1040055|1870
2015-02-19|4|1037099|2956
2015-02-20|5|1026110|10989
2015-02-21|6|1017530|8580
2015-02-22|0|1016853|677
2015-02-23|1|1014487|2366
2015-02-24|2|1011587|2900
2015-02-25|3|1009894|1693
2015-02-26|4|997293|12601
2015-02-27|5|1314819|-317526
2015-02-28|6|1174287|140532
2015-03-01|0|1174287|0
2015-03-02|1|1163459|10828
2015-03-03|2|1094105|69354
2015-03-04|3|1092133|1972
2015-03-05|4|1061839|30294
2015-03-06|5|1057635|4204
2015-03-07|6|1043145|14490
2015-03-08|0|1041295|1850
2015-03-09|1|1035590|5705
2015-03-10|2|1033813|1777
2015-03-11|3|1032542|1271
2015-03-12|4|1030831|1711
2015-03-13|5|1024020|6811
2015-03-14|6|1021184|2836
2015-03-15|0|1018784|2400
2015-03-16|1|1015795|2989
2015-03-17|2|1014837|958
2015-03-18|3|1012996|1841
2015-03-19|4|1009915|3081
2015-03-20|5|1009050|865
2015-03-21|6|1007345|1705
2015-03-22|0|1003680|3665
2015-03-23|1|1001122|2558
2015-03-24|2|999599|1523
2015-03-25|3|997532|2067
2015-03-26|4|995446|2086
2015-03-27|5|918009|77437
2015-03-28|6|916361|1648
2015-03-29|0|912616|3745
2015-03-30|1|909394|3222
2015-03-31|2|1234371|-324977
2015-04-01|3|1212888|21483
2015-04-02|4|1208732|4156
2015-04-03|5|1205327|3405
2015-04-04|6|1200104|5223
2015-04-05|0|1197128|2976
2015-04-06|1|1102029|95099
2015-04-07|2|1100774|1255
2015-04-08|3|1096078|4696
2015-04-09|4|1094634|1444
2015-04-10|5|1093508|1126
2015-04-11|6|1091173|2335
2015-04-12|0|1088826|2347
2015-04-13|1|1087852|974
2015-04-14|2|1085839|2013
2015-04-15|3|1084541|1298
2015-04-16|4|1083591|950
2015-04-17|5|1082031|1560
2015-04-18|6|1078235|3796
2015-04-19|0|1078235|0
2015-04-20|1|1076736|1499
2015-04-21|2|1075343|1393
2015-04-22|3|1073664|1679
2015-04-23|4|1072562|1102
2015-04-24|5|1071301|1261
2015-04-25|6|1051614|19687
2015-04-26|0|1049049|2565
2015-04-27|1|983288|65761
2015-04-28|2|966696|16592
2015-04-29|3|966696|0
2015-04-30|4|1270210|-303514
2015-05-01|5|1259117|11093
2015-05-02|6|1257773|1344
2015-05-03|0|1250435|7338
2015-05-04|1|1243468|6967
2015-05-05|2|1222618|20850
2015-05-06|3|1153738|68880
2015-05-07|4|1132144|21594
2015-05-08|5|1119006|13138
2015-05-09|6|1113821|5185
2015-05-10|0|1110571|3250
2015-05-11|1|1106710|3861
2015-05-12|2|1105929|781
2015-05-13|3|1104542|1387
2015-05-14|4|1102164|2378
2015-05-15|5|1099110|3054
2015-05-16|6|1086518|12592
2015-05-17|0|1079797|6721
2015-05-18|1|1078257|1540
2015-05-19|2|1077099|1158
2015-05-20|3|1076041|1058
2015-05-21|4|1074997|1044
2015-05-22|5|1073838|1159
2015-05-23|6|1072373|1465
2015-05-24|0|1064653|7720
2015-05-25|1|1063447|1206
2015-05-26|2|1062382|1065
2015-05-27|3|996936|65446
2015-05-28|4|984767|12169
2015-05-29|5|1325071|-340304
2015-05-30|6|1303320|21751
2015-05-31|0|1302115|1205
2015-06-01|1|1291528|10587
2015-06-02|2|1289732|1796
2015-06-03|3|1281094|8638
2015-06-04|4|1277980|3114
2015-06-05|5|1276261|1719
2015-06-06|6|1267162|9099
2015-06-07|0|1196508|70654
2015-06-08|1|1170066|26442
2015-06-09|2|1169166|900
2015-06-10|3|1167159|2007
2015-06-11|4|1165590|1569
2015-06-12|5|1164285|1305
2015-06-13|6|1160948|3337
2015-06-14|0|1157169|3779
2015-06-15|1|1155109|2060
2015-06-16|2|1153816|1293
2015-06-17|3|1152304|1512
2015-06-18|4|1150446|1858
2015-06-19|5|1148491|1955
2015-06-20|6|1144623|3868
2015-06-21|0|1143811|812
2015-06-22|1|1142637|1174
2015-06-23|2|1139666|2971
2015-06-24|3|1138702|964
2015-06-25|4|1126503|12199
2015-06-26|5|1124148|2355
2015-06-27|6|1121323|2825
2015-06-28|0|1116633|4690
2015-06-29|1|1115789|844
2015-06-30|2|1104849|10940
2015-07-01|3|1311631|-206782
2015-07-02|4|1309971|1660
2015-07-03|5|1302922|7049
2015-07-04|6|1298822|4100
2015-07-05|0|1298022|800
2015-07-06|1|1272815|25207
2015-07-07|2|1202678|70137
2015-07-08|3|1195383|7295
2015-07-09|4|1190416|4967
2015-07-10|5|1185893|4523
2015-07-11|6|1181154|4739
2015-07-12|0|1176960|4194
2015-07-13|1|1172766|4194
2015-07-14|2|1168642|4124
2015-07-15|3|1164347|4295
2015-07-16|4|1159750|4597
2015-07-17|5|1156950|2800
2015-07-18|6|1145178|11772
2015-07-19|0|1136676|8502
2015-07-20|1|1130473|6203
2015-07-21|2|1129160|1313
2015-07-22|3|1126092|3068
2015-07-23|4|1123362|2730
2015-07-24|5|1120632|2730
2015-07-25|6|1117902|2730
2015-07-26|0|1115172|2730
2015-07-27|1|1103795|11377
2015-07-28|2|1101065|2730
2015-07-29|3|1098335|2730
2015-07-30|4|1095602|2733
